========================================================================================================================
单元格逐一比对：原模板 vs 预览页面
========================================================================================================================

格式说明：
  单元格坐标 | 原模板内容 | 预览内容 | 是否一致
------------------------------------------------------------------------------------------------------------------------

(1, 1)       | (空)                                      | (空)                                      | ✅
(1, 2)       | 2026年06月                                 | 2026年06月                                 | ✅
(1, 3)       | (空)                                      | (被合并)                                    | ❌
(1, 4)       | 义务教育学校教职工绩效工资审批表                         | 义务教育学校教职工绩效工资审批表                         | ✅
(1, 5)       | (空)                                      | (被合并)                                    | ❌
(1, 6)       | (空)                                      | (被合并)                                    | ❌
(2, 1)       | 填报单位：                                    | 填报单位：                                    | ✅
(2, 2)       | 太平镇中心学校                                  | 太平镇中心学校                                  | ✅
(2, 3)       | (空)                                      | (被合并)                                    | ❌
(2, 4)       | (空)                                      | (被合并)                                    | ❌
(2, 5)       | 填报日期:                                    单位：人/元 | 填报日期:                                    单位：人/元 | ✅
(2, 6)       | (空)                                      | (被合并)                                    | ❌
(3, 1)       | 项目                                       | 项目                                       | ✅
(3, 2)       | 人数                                       | 人数                                       | ✅
(3, 3)       | 标准                                       | 标准                                       | ✅
(3, 4)       | 小计                                       | 小计                                       | ✅
(3, 5)       | 呈报单位意见                                   | 呈报单位意见                                   | ✅
(3, 6)       | (空)                                      | (空)                                      | ✅
(4, 1)       | 行政管理人员                                   | 行政管理人员                                   | ✅
(4, 2)       | (空)                                      | (被合并)                                    | ❌
(4, 3)       | (空)                                      | (被合并)                                    | ❌
(4, 4)       | (空)                                      | (被合并)                                    | ❌
(4, 5)       | (空)                                      | (被合并)                                    | ❌
(4, 6)       | (空)                                      | (空)                                      | ✅
(5, 1)       | 1、副处级                                    | 1、副处级                                    | ✅
(5, 2)       | (空)                                      | (空)                                      | ✅
(5, 3)       | (空)                                      | (空)                                      | ✅
(5, 4)       | (空)                                      | (空)                                      | ✅
(5, 5)       | (空)                                      | (被合并)                                    | ❌
(5, 6)       | (空)                                      | (空)                                      | ✅
(6, 1)       | 2、正科级                                    | 2、正科级                                    | ✅
(6, 2)       | (空)                                      | (空)                                      | ✅
(6, 3)       | (空)                                      | (空)                                      | ✅
(6, 4)       | (空)                                      | (空)                                      | ✅
(6, 5)       | (空)                                      | (被合并)                                    | ❌
(6, 6)       | 据实填写，同意呈报。                               | 据实填写，同意呈报。                               | ✅
(7, 1)       | 3、副科级                                    | 3、副科级                                    | ✅
(7, 2)       | (空)                                      | (空)                                      | ✅
(7, 3)       | (空)                                      | (空)                                      | ✅
(7, 4)       | (空)                                      | (空)                                      | ✅
(7, 5)       | (空)                                      | (被合并)                                    | ❌
(7, 6)       | （盖章）                                     | （盖章）                                     | ✅
(8, 1)       | 4、科员级                                    | 4、科员级                                    | ✅
(8, 2)       | (空)                                      | (空)                                      | ✅
(8, 3)       | (空)                                      | (空)                                      | ✅
(8, 4)       | (空)                                      | (空)                                      | ✅
(8, 5)       | (空)                                      | (被合并)                                    | ❌
(8, 6)       | (空)                                      | (空)                                      | ✅
(9, 1)       | 5、办事员级                                   | 5、办事员级                                   | ✅
(9, 2)       | (空)                                      | (空)                                      | ✅
(9, 3)       | (空)                                      | (空)                                      | ✅
